,am_normal,am_toxic,ar_normal,ar_toxic,de_normal,de_toxic,en_normal,en_toxic,es_normal,es_toxic,hi_normal,hi_toxic,ru_normal,ru_toxic,uk_normal,uk_toxic,zh_normal,zh_toxic
am_normal,0.7255237698554993,0.7331621050834656,0.4790889024734497,0.4563899338245392,0.3739285171031952,0.3955090343952179,0.3771831691265106,0.3556884527206421,0.3420175313949585,0.38052305579185486,0.3949170708656311,0.4206653833389282,0.399528831243515,0.3508066236972809,0.4108631908893585,0.4044777750968933,0.45621734857559204,0.46121469140052795
am_toxic,0.7331621050834656,0.7413493990898132,0.4832029342651367,0.46024683117866516,0.37593501806259155,0.3975692391395569,0.3786965012550354,0.3572285771369934,0.34355220198631287,0.38272884488105774,0.3977576196193695,0.42381051182746887,0.4026224613189697,0.3539329469203949,0.41438475251197815,0.4079616069793701,0.45944705605506897,0.46430474519729614
ar_normal,0.4790889024734497,0.4832029342651367,0.6691617369651794,0.6500734686851501,0.46112728118896484,0.4807988703250885,0.503211498260498,0.48783808946609497,0.44512930512428284,0.4926159083843231,0.4278082549571991,0.4522596597671509,0.4794785678386688,0.4338245093822479,0.4856009781360626,0.47770917415618896,0.4859068989753723,0.4871601164340973
ar_toxic,0.4563899338245392,0.46024683117866516,0.6500734686851501,0.6347374320030212,0.44288355112075806,0.4618583619594574,0.48274555802345276,0.47029513120651245,0.4272892475128174,0.47333741188049316,0.40807777643203735,0.43213266134262085,0.4584713280200958,0.416653037071228,0.4639912247657776,0.4571867287158966,0.463909775018692,0.46576258540153503
de_normal,0.3739284873008728,0.37593501806259155,0.46112728118896484,0.44288358092308044,0.6195631623268127,0.6244587898254395,0.4987961947917938,0.4879303276538849,0.44979339838027954,0.4921110272407532,0.34495097398757935,0.3617100119590759,0.41656258702278137,0.376900851726532,0.4170958995819092,0.40900012850761414,0.4098009765148163,0.40694737434387207
de_toxic,0.3955090343952179,0.3975692391395569,0.4807988703250885,0.4618583619594574,0.6244587898254395,0.6334599852561951,0.5137652158737183,0.5023254156112671,0.46299073100090027,0.5079746842384338,0.3574725389480591,0.37625113129615784,0.4316007196903229,0.3894185423851013,0.4328678250312805,0.42458778619766235,0.43100908398628235,0.4290105998516083
en_normal,0.377183198928833,0.378696471452713,0.503211498260498,0.48274555802345276,0.49879613518714905,0.5137652158737183,0.6565855741500854,0.6465368866920471,0.4910091757774353,0.5339652895927429,0.36527499556541443,0.3815307021141052,0.44360414147377014,0.3960393965244293,0.4436253011226654,0.4321596324443817,0.43484771251678467,0.43231743574142456
en_toxic,0.3556884825229645,0.3572285771369934,0.48783808946609497,0.47029513120651245,0.4879303276538849,0.5023254156112671,0.6465368866920471,0.6593159437179565,0.47594955563545227,0.5239370465278625,0.3526032269001007,0.36692187190055847,0.42728349566459656,0.39042872190475464,0.42715704441070557,0.4187310039997101,0.40895697474479675,0.407245934009552
es_normal,0.3420175313949585,0.34355220198631287,0.44512924551963806,0.4272892475128174,0.44979336857795715,0.46299076080322266,0.4910091757774353,0.47594955563545227,0.5451766848564148,0.5704030990600586,0.31801745295524597,0.33538973331451416,0.403687059879303,0.36367371678352356,0.3964611887931824,0.3884440064430237,0.3813369870185852,0.3798148036003113
es_toxic,0.38052308559417725,0.38272884488105774,0.4926159083843231,0.4733373522758484,0.4921110272407532,0.5079747438430786,0.5339652299880981,0.5239371061325073,0.5704030990600586,0.6099098920822144,0.3505387306213379,0.3701963722705841,0.44360047578811646,0.40293818712234497,0.4367704689502716,0.42877963185310364,0.4242600202560425,0.4227084517478943
hi_normal,0.3949170410633087,0.3977576196193695,0.4278082549571991,0.40807777643203735,0.34495094418525696,0.3574725091457367,0.3652750253677368,0.3526032269001007,0.3180174231529236,0.3505387306213379,0.6803911328315735,0.680641233921051,0.3671986162662506,0.3344152867794037,0.37943264842033386,0.37706458568573,0.3677349090576172,0.3670286536216736
hi_toxic,0.4206653833389282,0.42381051182746887,0.4522596597671509,0.43213266134262085,0.3617100119590759,0.3762511610984802,0.3815307021141052,0.36692190170288086,0.33538973331451416,0.3701963722705841,0.680641233921051,0.6872789859771729,0.38872164487838745,0.3530160188674927,0.400666207075119,0.39846593141555786,0.3889712393283844,0.38896360993385315
ru_normal,0.3995288014411926,0.4026224613189697,0.4794785678386688,0.45847129821777344,0.41656258702278137,0.4316007196903229,0.44360411167144775,0.42728349566459656,0.403687059879303,0.44360053539276123,0.3671985864639282,0.38872164487838745,0.6432471871376038,0.6355531215667725,0.6087586283683777,0.6124851703643799,0.4166645407676697,0.4157615303993225
ru_toxic,0.3508065938949585,0.3539329469203949,0.43382444977760315,0.416653037071228,0.37690088152885437,0.38941851258277893,0.3960393965244293,0.39042872190475464,0.36367371678352356,0.40293818712234497,0.3344152271747589,0.35301607847213745,0.6355531811714172,0.6535629630088806,0.5972220301628113,0.6064116954803467,0.36068207025527954,0.3593836724758148
uk_normal,0.4108631908893585,0.41438475251197815,0.4856009781360626,0.4639912247657776,0.4170958995819092,0.4328678250312805,0.4436253011226654,0.42715704441070557,0.3964611887931824,0.436770498752594,0.37943267822265625,0.400666207075119,0.6087586879730225,0.597222089767456,0.6480172872543335,0.6516396403312683,0.41669702529907227,0.41593310236930847
uk_toxic,0.4044777750968933,0.4079616069793701,0.47770917415618896,0.457186758518219,0.4090001583099365,0.42458778619766235,0.4321596324443817,0.41873106360435486,0.3884439766407013,0.42877963185310364,0.37706458568573,0.39846596121788025,0.6124851703643799,0.6064116358757019,0.6516395807266235,0.661547839641571,0.40349072217941284,0.40285030007362366
zh_normal,0.45621734857559204,0.45944705605506897,0.4859068989753723,0.463909775018692,0.40980103611946106,0.43100908398628235,0.43484771251678467,0.40895697474479675,0.3813369870185852,0.4242600202560425,0.3677349090576172,0.3889712691307068,0.4166645109653473,0.36068207025527954,0.4166969656944275,0.40349069237709045,0.6909075975418091,0.677394449710846
zh_toxic,0.46121475100517273,0.46430474519729614,0.4871601164340973,0.46576255559921265,0.40694737434387207,0.4290105998516083,0.43231743574142456,0.407245934009552,0.37981483340263367,0.4227084815502167,0.3670286238193512,0.38896360993385315,0.4157615303993225,0.3593836724758148,0.41593310236930847,0.40285032987594604,0.6773945093154907,0.6678665280342102
